sID,s_mean,time_estimate_mean,time_revise_mean,confidence_estimate_mean,confidence_revise_mean
3,0.46923076923076923,6,5.4,1,2
6,0.09230769230769231,5,5.6,1,1
8,0.2173076923076923,10.8,9.2,1,1
9,0.4511904761904762,9.6,11.2,2,2
13,0.2775974025974026,5.2,7.2,3,3
14,0.4729895104895105,6.6,19.2,3,3
16,0.40614718614718615,11.6,12.8,1,2
17,0.3086868686868687,4.6,9,1,1
23,0.2570588235294118,8,7.4,2,2
27,0.3362044817927171,3.6,7.4,2,2
28,0.3445933014354067,5.6,9.4,1,1
29,0.49742424242424244,6.4,5.8,3,3
30,0.05555555555555555,5.2,5.2,1,1
31,0.2812698412698413,6.4,6.8,3,1
32,0.5475524475524476,7.6,11.8,1,1
33,0.046153846153846156,5.8,4.2,1,2
34,0.6476190476190476,4,4.8,1,2
36,0.3138157894736842,4,9.2,3,2
37,0.24533799533799533,4.6,10.6,2,2
39,0.29136321195144727,6.2,11,2,3
40,0.44166666666666665,5,6.2,1,2
43,0.19963369963369965,6,7.8,2,2
44,0.3964285714285714,5.8,5.6,2,2
47,0.23383838383838385,17.2,8.2,3,3
48,0.07142857142857142,11.8,9.8,3,3
51,0.37505827505827505,6.4,9.2,1,1
52,0.26545454545454544,11.8,12,2,1
54,0.1875,4.8,4.6,3,3
55,0.41751831501831504,4.2,5.8,1,2
56,0.22863777089783283,6,9,1,2
58,0.2428921568627451,4.8,6.6,3,3
60,0.38298368298368296,6,8,2,3
61,0.2143939393939394,3.4,5.8,2,2
62,0.18615384615384617,8.8,5.6,1,1
63,0.22525252525252526,4.4,7,1,1
64,0.608452380952381,14.6,7.6,2,3
65,0.33766233766233766,4.8,4,2,3
67,0.3697802197802198,6.2,7.6,2,2
68,0.44682539682539685,3.2,8.2,2,3
70,0.31492063492063493,8.8,5.4,3,3
71,0.36538461538461536,4.8,6.8,3,2
73,0.19137529137529138,4.8,7.8,3,2
76,0.3394957983193277,6.6,7.2,2,3
79,0.3836363636363636,4.6,9.2,1,1
80,0.3871794871794872,7.2,9.8,2,2
83,0.22147435897435896,9.6,18.6,3,4
86,0.4818181818181818,3.2,4,2,3
87,0.30980861244019137,6.6,10.2,1,2
88,0.1380952380952381,4.4,5,3,3
90,0.40357420357420354,6.8,9.4,2,2
91,0.3530085110967464,4.4,5,1,2
93,0.5625974025974025,7.8,9.2,2,2
95,0.12613636363636363,8.8,11.6,3,3
96,0.1534090909090909,7.2,7.4,2,2
97,0.5159663865546219,5.8,8,1,1
98,0.3539284245166598,6.8,7.4,2,2
100,0.3316017316017316,5.8,10,2,2
104,0.31833333333333336,4.6,13.2,2,2
107,0.49924242424242427,4.6,5.6,1,2
109,0.12666666666666665,8.8,4.2,2,2
110,0.14285714285714285,5.8,8.8,1,1
111,0.16862745098039217,5,7.4,3,3
114,0,5.4,5.4,1,1
115,0.5676190476190476,10,12.8,2,2
117,0.19107142857142856,15.8,9.2,2,2
118,0.3646062271062271,4.8,8.4,2,2
120,0.38606060606060605,7.6,5.4,1,1
122,0.4623376623376623,3.6,5.2,1,2
124,0.1879120879120879,4.4,8.2,2,2
128,0.2316849816849817,4.4,6.6,3,3
130,0.16749999999999998,8.2,8,3,3
131,0.1665873015873016,8,10,3,2
