sID,trial,n_animals,estimate,social_info,estimate_revised,time_estimate,time_revise,confidence_estimate,confidence_revise,bonus_amount,s
3,1,93,40,48,44,8,5,NA,NA,NA,0.5
3,2,78,66,79,77,7,10,NA,NA,NA,0.8461538461538461
3,3,59,45,54,50,5,4,NA,NA,NA,0.5555555555555556
3,4,74,75,60,70,4,4,NA,NA,NA,0.3333333333333333
3,5,69,90,72,88,6,4,1,2,0,0.1111111111111111
6,1,93,44,53,44,7,10,NA,NA,NA,0
6,2,78,48,58,48,5,5,NA,NA,NA,0
6,3,59,52,62,52,4,3,NA,NA,NA,0
6,4,74,63,76,65,3,6,NA,NA,NA,0.15384615384615385
6,5,69,64,77,68,6,4,1,1,0,0.3076923076923077
8,1,93,63,76,69,19,18,NA,NA,NA,0.46153846153846156
8,2,78,58,70,61,15,6,NA,NA,NA,0.25
8,3,59,42,50,43,7,8,NA,NA,NA,0.125
8,4,74,72,86,72,9,7,NA,NA,NA,0
8,5,69,82,66,78,4,7,1,1,0.15,0.25
9,1,93,60,72,65,9,13,NA,NA,NA,0.4166666666666667
9,2,78,50,60,55,7,9,NA,NA,NA,0.5
9,3,59,80,64,70,12,16,NA,NA,NA,0.625
9,4,74,80,64,80,13,9,NA,NA,NA,-0
9,5,69,70,56,60,7,9,2,2,0.45,0.7142857142857143
13,1,93,72,87,77,6,8,NA,NA,NA,0.3333333333333333
13,2,78,110,88,105,4,8,NA,NA,NA,0.22727272727272727
13,3,59,82,66,80,4,9,NA,NA,NA,0.125
13,4,74,120,96,110,6,7,NA,NA,NA,0.4166666666666667
13,5,69,128,100,120,6,4,3,3,0,0.2857142857142857
14,1,93,55,66,61,9,39,NA,NA,NA,0.5454545454545454
14,2,78,70,84,77,9,13,NA,NA,NA,0.5
14,3,59,55,66,61,5,17,NA,NA,NA,0.5454545454545454
14,4,74,80,64,75,5,11,NA,NA,NA,0.3125
14,5,69,65,78,71,5,16,3,3,0.95,0.46153846153846156
16,1,93,55,66,60,12,18,NA,NA,NA,0.45454545454545453
16,2,78,48,58,54,20,12,NA,NA,NA,0.6
16,3,59,58,70,62,13,12,NA,NA,NA,0.3333333333333333
16,4,74,72,86,77,6,13,NA,NA,NA,0.35714285714285715
16,5,69,68,82,72,7,9,1,2,0,0.2857142857142857
17,1,93,45,54,50,6,15,NA,NA,NA,0.5555555555555556
17,2,78,55,66,60,4,9,NA,NA,NA,0.45454545454545453
17,3,59,61,49,60,5,5,NA,NA,NA,0.08333333333333333
17,4,74,62,74,65,4,11,NA,NA,NA,0.25
17,5,69,51,61,53,4,5,1,1,0,0.2
23,1,93,78,95,82,10,8,NA,NA,NA,0.23529411764705882
23,2,78,60,72,65,7,11,NA,NA,NA,0.4166666666666667
23,3,59,60,48,58,7,8,NA,NA,NA,0.16666666666666666
23,4,74,75,60,68,10,5,NA,NA,NA,0.4666666666666667
23,5,69,65,78,65,6,5,2,2,0.95,0
27,1,93,60,72,62,5,12,NA,NA,NA,0.16666666666666666
27,2,78,68,82,74,4,7,NA,NA,NA,0.42857142857142855
27,3,59,60,48,55,3,7,NA,NA,NA,0.4166666666666667
27,4,74,87,70,82,3,5,NA,NA,NA,0.29411764705882354
27,5,69,80,64,74,3,6,2,2,0.75,0.375
28,1,93,120,95,110,6,13,NA,NA,NA,0.4
28,2,78,105,84,105,5,7,NA,NA,NA,-0
28,3,59,100,80,90,5,7,NA,NA,NA,0.5
28,4,74,110,88,100,7,9,NA,NA,NA,0.45454545454545453
