participantID,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,masterTrialID,conditionTrialID,condition,colorSequence,gender,age,education
3,0.976410015,0.910217285,11,5,8,3,1,0,3,36234.3,5,1,high,"[2,1,2,2,1,2,1,2,2,2,2]",2,32,7
3,0.944649347,0.849121094,10,4,3,7,1,0,6,30979.7,6,2,high,"[1,2,1,2,1,1,2,1,1,1]",2,32,7
3,0.919875776,0.748277664,5,3,1,4,1,0,101,16191.8,8,3,high,"[1,2,1,1,1]",2,32,7
3,0.976410015,0.927001953,13,5,9,4,1,0,9,45284.2,12,4,high,"[2,1,1,1,2,2,2,2,2,1,2,2,2]",2,32,7
3,0.919875776,0.748277664,5,3,1,4,1,0,4,19183.6,16,5,high,"[1,1,1,2,1]",2,32,7
3,0.975776398,0.808344841,4,4,0,4,1,0,8,14303.8,18,6,high,"[1,1,1,1]",2,32,7
3,0.886902679,0.772750854,9,3,6,3,1,0,7,30165.6,21,7,high,"[2,1,2,2,1,1,2,2,2]",2,32,7
6,0.943478261,0.738266468,3,3,3,0,1,0,3,10204.2,7,1,high,"[2,2,2]",2,26,6
6,0.677639752,0.588098526,5,1,3,2,1,0,9,18277.6,9,2,high,"[2,1,1,2,2]",2,26,6
6,0.703478261,0.584094048,3,1,1,2,1,0,6,10790.4,10,3,high,"[1,2,1]",2,26,6
6,0.677639752,0.588098526,5,1,2,3,1,0,4,17902,14,4,high,"[2,1,2,1,1]",2,26,6
6,0.875652174,0.661180258,2,2,0,2,1,0,101,7063.7,16,5,high,"[1,1]",2,26,6
6,0.875652174,0.661180258,2,2,0,2,1,0,8,8649.1,17,6,high,"[1,1]",2,26,6
6,0.875652174,0.661180258,2,2,2,0,1,0,7,7193.1,19,7,high,"[2,2]",2,26,6
16,0.794508009,0.685470581,8,2,3,5,1,0,4,41845.4,4,1,high,"[1,1,2,2,2,1,1,1]",2,29,7
16,0.975776398,0.808344841,4,4,4,0,1,0,9,16684.7,5,2,high,"[2,2,2,2]",2,29,7
16,0.794508009,0.685470581,8,2,5,3,1,0,3,32825.4,6,3,high,"[2,1,2,1,1,2,2,2]",2,29,7
16,0.990310559,0.868412018,5,5,5,0,1,0,7,19721.3,7,4,high,"[2,2,2,2,2]",2,29,7
16,0.663615561,0.592735291,7,1,4,3,0,0,6,25266.8,14,5,high,"[1,2,1,2,2,1,2]",2,29,7
16,0.919875776,0.748277664,5,3,1,4,1,0,101,18587.4,15,6,high,"[1,1,1,2,1]",2,29,7
16,0.899221968,0.759658813,7,3,2,5,1,0,8,26898.8,16,7,high,"[1,2,1,2,1,1,1]",2,29,7
9,0.810869565,0.676197052,6,2,2,4,1,0,4,33607.6,2,1,high,"[2,1,1,1,2,1]",2,32,6
9,0.984897025,0.881057739,7,5,6,1,1,0,3,29327.1,5,2,high,"[2,1,2,2,2,2,2]",2,32,6
9,0.794508009,0.685470581,8,2,5,3,1,0,9,35383.7,8,3,high,"[2,2,1,2,1,2,1,2]",2,32,6
9,0.990310559,0.868412018,5,5,5,0,1,0,7,23089.1,14,4,high,"[2,2,2,2,2]",2,32,6
9,0.990310559,0.868412018,5,5,0,5,1,0,6,21859.5,15,5,high,"[1,1,1,1,1]",2,32,6
9,0.899221968,0.759658813,7,3,2,5,1,0,8,28024.3,17,6,high,"[2,2,1,1,1,1,1]",2,32,6
9,0.942380728,0.866577148,12,4,4,8,1,0,101,47415.6,20,7,high,"[2,2,1,1,2,1,1,2,1,1,1,1]",2,32,6
23,0.919875776,0.748277664,5,3,4,1,0,0,101,21371.7,1,1,high,"[2,2,2,1,2]",2,25,6
23,0.899221968,0.759658813,7,3,5,2,1,0,7,24304.4,5,2,high,"[2,1,2,1,2,2,2]",2,25,6
