sID,nTotal,confidence_peer,s
3,5,1,0.3172175536881419
3,5,2,0.5649283559577677
3,5,3,0.7345459850606909
3,45,1,0.09468137254901961
3,45,2,0.3597385620915033
3,45,3,0.5993872549019608
6,5,1,0.0961764705882353
6,5,2,0.3930718954248366
6,5,3,0.4349673202614379
6,45,1,0.01875
6,45,2,0.12769607843137254
6,45,3,0.20598039215686276
8,5,1,0.03971496005809731
8,5,2,0.07761437908496732
8,5,3,0.5735294117647058
8,45,1,0.05343137254901961
8,45,2,0.22687908496732026
8,45,3,0.49263655462184874
9,5,1,0.06458333333333333
9,5,2,0.4377859477124183
9,5,3,0.6375816993464052
9,45,1,0
9,45,2,0.3862044817927171
9,45,3,0.5379901960784313
13,5,1,0.3012418300653595
13,5,2,0.39422385620915035
13,5,3,0.675110877684407
13,45,1,0.35806372549019605
13,45,2,0.38231209150326795
13,45,3,0.6413398692810457
14,5,1,0.4718954248366013
14,5,2,0.5062745098039215
14,5,3,0.627516339869281
14,45,1,0.24751517273576096
14,45,2,0.3294514472455649
14,45,3,0.46387605042016805
16,5,1,0.4458242556281772
16,5,2,0.5716666666666667
16,5,3,0.6689052287581699
16,45,1,0.20026610644257703
16,45,2,0.4605119825708061
16,45,3,0.4579901960784314
17,5,1,0.0763888888888889
17,5,2,0.10555555555555556
17,5,3,0.15991013071895424
17,45,1,0.22343749999999998
17,45,2,0.29017156862745097
17,45,3,0.15608660130718954
23,5,1,0.4627450980392157
23,5,2,0.44719771241830064
23,5,3,0.5078431372549019
23,45,1,0.5888888888888889
23,45,2,0.5283133623819898
23,45,3,0.5716339869281046
27,5,1,0.5571813725490196
27,5,2,0.6983986928104575
27,5,3,0.9061111111111111
27,45,1,0.12077264239028945
27,45,2,0.20763197586726997
27,45,3,0.5137254901960784
28,5,1,0.1590359477124183
28,5,2,0.5759558823529412
28,5,3,0.8736111111111111
28,45,1,0.007142857142857143
28,45,2,0.36973039215686276
28,45,3,0.5500291783380019
29,5,1,0.29228395061728396
29,5,2,0.2871953781512605
29,5,3,0.4591049382716049
29,45,1,0.273062558356676
29,45,2,0.3600944081336238
29,45,3,0.3218709150326797
30,5,1,0.4
30,5,2,0.7596132897603486
30,5,3,0.8741421568627451
30,45,1,0.055092592592592596
30,45,2,0.24708333333333332
30,45,3,0.32483660130718955
32,5,1,0.09513435003631082
32,5,2,0.3091013071895425
32,5,3,0.6794117647058824
