sID,trialNumber,nTotal,true_ratio,given_ratio,seen_ratio,ITI,nMushrooms,nBlue,nRed,estimate,estimateRT,confidence,confidenceRT,traits
1,1,5,0.625,0.625,0.6,1.8,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",60,7.827,2,10.545,Dependable Imaginative
1,2,45,0.875,0.875,0.866666667,1.7,"9,9,9,9,9","7,8,8,9,7","2,1,1,0,2",91,4.089,3,8.456,Dependable Imaginative
1,3,5,0.75,0.9,1,1.5,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",100,2.929,3,4.004,Dependable Imaginative
1,4,45,0.5,0.65,0.644444444,1.8,"9,9,9,9,9","7,8,5,5,4","2,1,4,4,5",73,10.893,3,12.469,Dependable Imaginative
1,5,5,0.125,0.275,0.2,2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,9.652,3,11.901,Dependable Imaginative
1,6,25,0.25,0.4,0.4,2,"6,2,8,5,4","3,1,3,2,1","3,1,5,3,3",40,3.963,2,5.424,Dependable Imaginative
1,7,5,1,1,1,1.7,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",98,6.847,3,8.514,Dependable Imaginative
1,8,5,0.75,0.75,0.8,1.7,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",85,3.661,3,5.279,Dependable Imaginative
1,9,45,0.25,0.1,0.111111111,1.7,"9,9,9,9,9","0,1,2,1,1","9,8,7,8,8",10,3.835,3,5.218,Dependable Imaginative
1,10,5,0.875,1,1,1.8,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",98,4.989,3,6.113,Dependable Imaginative
1,11,45,0.375,0.525,0.533333333,1.9,"9,9,9,9,9","5,7,5,3,4","4,2,4,6,5",49,2.463,2,6.676,Dependable Imaginative
1,12,25,0.25,0.1,0.12,2,"6,9,6,1,3","1,1,1,0,0","5,8,5,1,3",10,5.334,3,6.366,Dependable Imaginative
1,13,25,0.5,0.35,0.36,1.5,"7,8,1,7,2","4,3,0,2,0","3,5,1,5,2",36,3.42,2,6.06,Dependable Imaginative
1,14,5,0.625,0.775,0.8,1.5,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",71,1.416,2,2.957,Dependable Imaginative
1,15,25,0.875,1,1,1.5,"2,4,4,7,8","2,4,4,7,8","0,0,0,0,0",99,1.776,3,3.67,Dependable Imaginative
1,16,25,0,0.15,0.16,1.9,"4,7,3,2,9","0,3,0,0,1","4,4,3,2,8",6,2.723,3,4.403,Dependable Imaginative
1,17,25,0.5,0.5,0.52,1.5,"9,1,4,9,2","6,0,2,4,1","3,1,2,5,1",45,1.491,2,2.913,Dependable Imaginative
1,18,5,0,0,0,2,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",6,1.866,2,4.202,Dependable Imaginative
1,19,45,0.125,0.125,0.133333333,1.6,"9,9,9,9,9","2,1,1,0,2","7,8,8,9,7",6,5.351,3,6.48,Dependable Imaginative
1,20,5,0.625,0.475,0.4,1.8,"1,1,1,1,1","0,0,0,1,1","1,1,1,0,0",34,3.783,2,5.342,Dependable Imaginative
1,21,45,0.5,0.35,0.355555556,2,"9,9,9,9,9","5,2,4,2,3","4,7,5,7,6",40,3.619,2,5.923,Dependable Imaginative
1,22,45,0.25,0.4,0.4,1.6,"9,9,9,9,9","5,2,5,2,4","4,7,4,7,5",44,1.639,2,2.845,Dependable Imaginative
1,23,45,1,0.85,0.844444444,1.9,"9,9,9,9,9","7,7,9,8,7","2,2,0,1,2",89,1.046,3,3.557,Dependable Imaginative
1,24,45,0.375,0.375,0.377777778,1.9,"9,9,9,9,9","2,3,4,5,3","7,6,5,4,6",35,2.266,2,3.802,Dependable Imaginative
1,25,45,0.625,0.475,0.466666667,1.5,"9,9,9,9,9","3,7,7,2,2","6,2,2,7,7",55,1.464,1,3.444,Dependable Imaginative
1,26,5,0.25,0.25,0.2,1.6,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",21,1.809,2,4.033,Dependable Imaginative
1,27,25,0.75,0.6,0.6,2,"2,5,1,8,9","1,3,1,5,5","1,2,0,3,4",61,2.125,1,3.753,Dependable Imaginative
1,28,45,1,1,1,1.7,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",99,6.321,3,7.333,Dependable Imaginative
1,29,25,0.875,0.875,0.88,1.8,"3,7,9,3,3","3,6,8,3,2","0,1,1,0,1",95,1.168,3,3.303,Dependable Imaginative
1,30,5,0.75,0.6,0.6,1.8,"1,1,1,1,1","1,1,1,0,0","0,0,0,1,1",62,3.951,2,5.757,Dependable Imaginative
1,31,45,1,1,1,2,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",99,1.248,3,2.675,Dependable Imaginative
1,32,25,0.625,0.475,0.48,1.9,"1,4,4,8,8","1,2,1,4,4","0,2,3,4,4",54,1.546,2,3.53,Dependable Imaginative
1,33,45,0,0,0,1.8,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",1,3.272,3,4.988,Dependable Imaginative
1,34,25,0.625,0.775,0.76,1.5,"3,2,2,9,9","2,2,1,7,7","1,0,1,2,2",62,1.998,2,5.258,Dependable Imaginative
1,35,45,0.875,1,1,1.6,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",99,1.395,3,2.874,Dependable Imaginative
1,36,25,1,0.85,0.84,1.6,"7,1,3,5,9","5,1,2,5,8","2,0,1,0,1",95,0.93,3,2.533,Dependable Imaginative
1,37,5,0.125,0.125,0.2,1.7,"1,1,1,1,1","0,1,0,0,0","1,0,1,1,1",20,1.784,1,3.995,Dependable Imaginative
1,38,45,0,0.15,0.155555556,1.8,"9,9,9,9,9","0,3,2,1,1","9,6,7,8,8",13,2.603,2,5.413,Dependable Imaginative
1,39,45,0.125,0,0,1.9,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",1,1.356,3,3.217,Dependable Imaginative
1,40,25,0,0,0,1.7,"2,4,6,4,9","0,0,0,0,0","2,4,6,4,9",1,1.811,3,3.336,Dependable Imaginative
1,41,25,0.375,0.525,0.52,1.7,"6,1,3,8,7","5,0,0,4,4","1,1,3,4,3",37,4.47,1,2.49,Dependable Imaginative
1,42,5,1,0.85,0.8,1.7,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",74,2.304,1,4.472,Dependable Imaginative
1,43,25,0.125,0.275,0.28,1.7,"5,4,6,3,7","1,1,2,1,2","4,3,4,2,5",35,1.224,2,2.872,Dependable Imaginative
1,44,25,0.125,0,0,1.8,"7,7,6,3,2","0,0,0,0,0","7,7,6,3,2",1,1.627,3,3.086,Dependable Imaginative
1,45,25,0.625,0.625,0.64,2,"5,8,8,2,2","3,5,5,1,2","2,3,3,1,0",60,1.394,2,2.984,Dependable Imaginative
1,46,5,0.25,0.1,0.2,2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",24,1.125,1,4.239,Dependable Imaginative
1,47,25,0,0,0,1.6,"3,5,1,8,8","0,0,0,0,0","3,5,1,8,8",1,1.553,3,3.685,Dependable Imaginative
1,48,25,0.25,0.25,0.24,1.5,"1,5,5,6,8","0,2,0,1,3","1,3,5,5,5",9,8.193,2,9.141,Dependable Imaginative
1,49,5,0.875,0.725,0.8,1.8,"1,1,1,1,1","0,1,1,1,1","1,0,0,0,0",75,3.124,1,7.221,Dependable Imaginative
1,50,45,0,0,0,1.7,"9,9,9,9,9","0,0,0,0,0","9,9,9,9,9",1,1.794,3,3.345,Dependable Imaginative
1,51,45,0.75,0.6,0.6,1.7,"9,9,9,9,9","5,6,4,6,6","4,3,5,3,3",58,1.798,2,3.183,Dependable Imaginative
1,52,45,0.5,0.5,0.511111111,1.7,"9,9,9,9,9","4,5,4,5,5","5,4,5,4,4",48,2.734,2,4.293,Dependable Imaginative
1,53,5,1,1,1,1.8,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",97,2.008,3,4.254,Dependable Imaginative
1,54,5,0.5,0.5,0.6,1.8,"1,1,1,1,1","1,1,0,0,1","0,0,1,1,0",60,5.703,2,8.545,Dependable Imaginative
1,55,45,0.75,0.9,0.911111111,2,"9,9,9,9,9","8,8,9,8,8","1,1,0,1,1",96,4.039,3,5.581,Dependable Imaginative
1,56,25,0.375,0.375,0.36,1.6,"6,2,1,9,7","4,0,1,2,2","2,2,0,7,5",37,1.674,1,3.356,Dependable Imaginative
1,57,5,0.5,0.35,0.4,1.5,"1,1,1,1,1","0,1,0,0,1","1,0,1,1,0",40,2.64,1,5.486,Dependable Imaginative
1,58,5,0.125,0,0,1.8,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",2,2,1,4.225,Dependable Imaginative
1,59,25,0.875,0.725,0.72,1.6,"1,6,6,3,9","1,5,5,3,4","0,1,1,0,5",55,3.021,2,6.236,Dependable Imaginative
1,60,45,0.875,0.725,0.733333333,1.7,"9,9,9,9,9","7,6,6,6,8","2,3,3,3,1",78,1.147,3,4.663,Dependable Imaginative
1,61,25,0.75,0.9,0.92,1.8,"8,7,8,1,1","7,7,7,1,1","1,0,1,0,0",92,2.879,3,5.078,Dependable Imaginative
1,62,5,0.375,0.225,0.2,1.5,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",21,2.344,2,4.907,Dependable Imaginative
1,63,25,0.5,0.65,0.64,1.6,"2,4,2,9,8","2,2,2,4,6","0,2,0,5,2",55,1.475,1,3.22,Dependable Imaginative
1,64,25,1,1,1,1.5,"9,4,6,2,4","9,4,6,2,4","0,0,0,0,0",99,11.877,3,13.426,Dependable Imaginative
1,65,25,0.125,0.125,0.12,1.7,"6,8,1,6,4","1,1,0,1,0","5,7,1,5,4",12,2.677,2,5.285,Dependable Imaginative
1,66,5,0.25,0.4,0.4,1.9,"1,1,1,1,1","0,1,1,0,0","1,0,0,1,1",41,4.24,2,6.236,Dependable Imaginative
1,67,45,0.75,0.75,0.755555556,1.8,"9,9,9,9,9","9,7,6,6,6","0,2,3,3,3",83,0.905,3,2.792,Dependable Imaginative
1,68,45,0.25,0.25,0.244444444,1.6,"9,9,9,9,9","4,1,3,1,2","5,8,6,8,7",37,1.627,2,3.61,Dependable Imaginative
1,69,25,1,1,1,1.6,"6,4,3,9,3","6,4,3,9,3","0,0,0,0,0",99,3.415,3,4.326,Dependable Imaginative
1,70,25,0.375,0.225,0.24,1.7,"9,7,6,1,2","3,0,1,1,1","6,7,5,0,1",37,2.891,2,6.097,Dependable Imaginative
1,71,45,0.375,0.225,0.222222222,1.7,"9,9,9,9,9","2,1,1,5,1","7,8,8,4,8",14,3.792,2,6.87,Dependable Imaginative
1,72,5,0.5,0.65,0.6,1.8,"1,1,1,1,1","1,1,1,0,0","0,0,0,1,1",60,5.054,2,6.027,Dependable Imaginative
1,73,45,0.625,0.775,0.777777778,1.8,"9,9,9,9,9","6,7,6,8,8","3,2,3,1,1",75,2.369,2,3.898,Dependable Imaginative
1,74,45,0.625,0.625,0.622222222,1.6,"9,9,9,9,9","5,6,6,6,5","4,3,3,3,4",61,1.852,2,3.379,Dependable Imaginative
1,75,25,0.75,0.75,0.76,1.9,"2,9,3,3,8","2,6,3,3,5","0,3,0,0,3",77,4.66,2,6.908,Dependable Imaginative
1,76,45,0.125,0.275,0.266666667,1.7,"9,9,9,9,9","1,3,2,4,2","8,6,7,5,7",34,4.891,2,6.992,Dependable Imaginative
1,77,5,0.875,0.875,0.8,1.9,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",75,2.137,2,3.375,Dependable Imaginative
1,78,5,0.375,0.375,0.4,1.9,"1,1,1,1,1","0,1,0,1,0","1,0,1,0,1",40,5.69,1,7.811,Dependable Imaginative
1,79,5,0,0.15,0.2,1.8,"1,1,1,1,1","0,0,0,0,1","1,1,1,1,0",20,3.683,1,4.689,Dependable Imaginative
1,80,5,0,0,0,1.5,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",3,1.843,1,6.895,Dependable Imaginative
1,81,5,0.375,0.525,0.6,1.5,"1,1,1,1,1","0,1,1,0,1","1,0,0,1,0",60,6.848,1,7.857,Dependable Imaginative
2,1,25,0.5,0.5,0.52,1.5,"3,9,1,8,4","1,5,0,5,2","2,4,1,3,2",52,3.28796,3,4.436265,Efficient Responsible
2,2,5,0.125,0,0,1.7,"1,1,1,1,1","0,0,0,0,0","1,1,1,1,1",10,4.09501,2,6.991715,Efficient Responsible
2,3,25,1,1,1,1.8,"6,2,1,8,8","6,2,1,8,8","0,0,0,0,0",95,3.29207,3,4.17572,Efficient Responsible
2,4,45,0.875,1,1,2,"9,9,9,9,9","9,9,9,9,9","0,0,0,0,0",100,1.54309,3,2.462725,Efficient Responsible
2,5,45,0.125,0.275,0.266666667,1.7,"9,9,9,9,9","3,3,2,1,3","6,6,7,8,6",80,5.393405,3,6.274515,Efficient Responsible
2,6,5,0,0.15,0.2,1.6,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",35,5.315385,2,6.342145,Efficient Responsible
2,7,25,0.125,0.125,0.12,2,"5,5,4,8,3","0,0,0,2,1","5,5,4,6,2",5,7.47404,3,8.52804,Efficient Responsible
2,8,5,1,1,1,1.5,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",75,5.793315,2,6.5992,Efficient Responsible
2,9,5,0.875,1,1,1.9,"1,1,1,1,1","1,1,1,1,1","0,0,0,0,0",85,8.59364,2,11.213335,Efficient Responsible
2,10,45,0.25,0.4,0.4,1.6,"9,9,9,9,9","3,6,4,3,2","6,3,5,6,7",35,3.610225,2,6.442935,Efficient Responsible
2,11,25,0,0,0,1.5,"3,8,2,9,3","0,0,0,0,0","3,8,2,9,3",5,3.69515,3,4.65927,Efficient Responsible
