prID,group,bonus,comments_instructions,comments_other
54847013fdf99b0379939c8a,FemaleRep,1.22,yes,"tasks were easy to understand. the speed of the  samples seemed to go faster at one point for a few rounds, so it felt more rushed for a minute. other than that, no issues."
577da3a2cd64f2000154baa4,FemaleRep,1.26,Yes,"The task was easy and enjoyable

"
58115086e9fd070001dd278f,FemaleDem,1.38,yes,NA
5aedb8ce49bb4c0001079640,FemaleRep,0.66,yes,"Study was long, a progress bar would be nice"
5b89da88bca3400001fa8809,FemaleDem,1.1,Yes,None
5bb34283c5888d000149402f,MaleDem,0.86,yes,nope
5c7b0806f9b9540001696ce9,MaleRep,1.02,yes,NA
5cdaf100c5084f00018ecb85,FemaleRep,0,I do feel the instructions were a bit hard to understand at first and was a bit confusing overall.,"I did enjoy it, but it was a bit confusing at times.
"
5cec2163d439ae0016596611,FemaleRep,0,I thought so,no
5cf2250935933a0001fdba2d,MaleDem,1.5,yes,no
5d2a7d973a260c001cf2d8e9,MaleDem,0.58,yes,NA
5d33ff76f665c6001ab9aa1e,FemaleDem,1.06,Yes.,"It was easy to understand, and it was ok."
5d73b97a40e4bc00019e1db8,FemaleRep,1.5,"Yes, the instructions were clear.","The study took a really long time and I wish there was a progress bar to know how much time was left in each of the three sections.
"
5dcaca406f3f1679d7a65c67,FemaleDem,0.3,Very clear.,"The tasks were simple and easy to understand. 
"
5dced0bb070fdc0143f75569,FemaleDem,1.42,"Yes, they were very clear.",The tasks were easy to understand. All good.
5ddd675deb3973cbee9e415c,MaleRep,1.5,Yes,Everything was fine
5e2e7d79acf5fe45b62f859a,FemaleDem,1.5,I think the instructions were clear and I could understand what I was supposed to do during the study. ,"I think the task was quite easy to understand, however, it's a bit repetitive and requires a lot of patience to go through the blocks. "
5e52d26eac9ed12f76c64417,FemaleRep,0,Kind of.,It is way too long
5e782c5d99df853a6f1315f4,MaleDem,0.3,Yes,No
5e92267dcc3d6c553eb8c817,MaleDem,1.3,Yes.,Everything was fine. Thank you!
5ea47210b166de41ed7b1d92,FemaleRep,0,yes,NA
5ec5967f306f255c709e4091,MaleRep,1.5,yes,yes in the instructions it said to use left and right arrow keys to move back and forth but im not sure if its just my pc or an issue because in order to make it move i had to push the left arrow then the right to move through the instructions as opposed to just pushing the right as stated
5ed7e3d68f29cf2bf4c1f901,FemaleRep,1.34,yes,NA
5ee178c7646ecb1a294e5325,MaleDem,1.22,The instructions were clear.,The tasks were easy to understand. I enjoyed the study!
5eeaa065c7acf61c4322f6d9,MaleRep,1.5,Instructions were clear. ,"It was easy to understand, the visuals helped especially the practice rounds. "
5eebe9f434488d3d56e2511d,MaleRep,1.06,Yes certainly,"Nothing really, good study
"
5eed0f7df8033b1180baef20,MaleRep,1.26,"Yes, they were.","The instructions were a bit confusing at first but after the practice rounds, they became clear."
5ef602a215622928f9abc045,MaleDem,1.46,"yes
",adding a progress bar would be nice
5ef630007a4f7c2e550ef111,FemaleDem,0.86,yes,NA
5ef8dd3c50ff3606f2dd77ca,FemaleRep,0.9,Yes,No
5f11f68a399eaf107d6903a9,FemaleDem,1.5,Very clear!,This was a fun and interesting study!
5f14b46fefc95253caca20b4,FemaleRep,1.18,"Yes, maybe a little vague at first but once I got going I got the hang of it.",Fun and pleasant to complete and the pay is greatly appreciated!
5f1b1f6a908b2609a62ab7ad,MaleDem,1.3,Yes,"Easy to understand, but study just felt a bit long"
5f26aceb7ee6c440933d9fdd,MaleDem,0.82,Yes,"It just felt a bit long, maybe add how close you are to finishing each block. "
5f315af6d221ae0e7843dc13,MaleRep,1.26,Yes they were,"Nothing specific to point out, the task was preatty easy to understand. Thank you for the opportunity to participate in your study!"
5f4000a47ed89c0e7f2e3760,MaleRep,1.22,yes,no
5f4d68285a01eea23f58ac1d,MaleDem,1.3,"The Instructions where mostly clear, I had no issue following",Tasks were easy to understand after getting the hang of it.
5f5108ff8ba7012cb2446667,FemaleDem,0.86,Yes,I thought it was easy to understand
5f5a545ec6a95e0e5b5e670e,MaleDem,0.82,The instructions were very clear.,"I wish I had known how many days there would be, but I appreciated the breaks between blocks. This was a unique survey and was pretty fun!"
5f69d6a0d7690f0008ae9fde,MaleDem,0.9,yes,no
5f6bcda8e35ca913c16a33f6,FemaleDem,0.1,yes,I do not have any feedback.
5f6faba26add72565e09b741,FemaleDem,0,"Yes, they were",The task was fun :)
5f773334d74b082186824cac,MaleRep,0.22,Instructions were pretty clear except I was hanging on weather I put the exact amount or a portion of what I've measured.,"No, thanks for asking."
5f85b31f696fed0562f9386a,MaleRep,1.02,"Yes
",It's such a fun game.
5f8d46590faafa0105beac0f,MaleRep,1.14,NA,NA
5f9034a241bf1e08f4486356,MaleDem,0.66,yes,None
5f91a4aeb9f8bc031e8c27c9,MaleRep,0.1,NA,NA
5f98ab718920801c578363ab,FemaleRep,0.42,"Yes, all the instructions were clear.",Can't say I dislike anything about the study.
5fac561bfa81812030b9fee0,FemaleRep,1.34,Yes! Very clear!,"I really enjoyed the chance to test my skill!
"
5faf887aa9c32221f28e240a,MaleRep,0.9,Yes,N/A
5fc7fb7982f3c510bb6e6b62,FemaleRep,1.46,yes,it was fine. easy. a little long but not terribly so.
5fff0402b2325f62e80572cd,FemaleDem,0.62,Yes,"It was fun but difficult! I often forgot what color the mushrooms had been and I kept wanting to count them exactly. But yes, it was easy to understand. "
6009eee6721c400d92d4cd39,FemaleRep,1.1,"I'm sure they were clear, it could have just been me, but I was originally confused as to if I was supposed to guess or count them. However, I mainly did mine based on percentages. ",NA
