sID,trialNumber,nTotal,true_ratio,fillerTrial,ITI,seen_ratio,nMushrooms,nBlue,nRed,estimate1,estimate1RT,estimate2,estimate2RT,estimate_peer,confidence_peer,s,strategy,sex,age,trial_filter
1,1,45,0.5,0,1.5,0.511111111,"9,9,9,9,9","6,3,4,5,5","3,6,5,4,4",50,3.319,50,4.63,65,1,0,stay,Male,24,1
1,2,45,0.125,0,1.9,0.133333333,"9,9,9,9,9","1,2,1,0,2","8,7,8,9,7",8,3.75,12,4.298,24,1,0.25,compromise,Male,24,1
1,4,5,0.25,0,1.7,0.2,"1,1,1,1,1","0,1,0,0,0","1,0,1,1,1",20,4.582,28,7.067,38,2,0.4444444444444444,compromise,Male,24,1
1,5,45,0.375,0,1.6,0.377777778,"9,9,9,9,9","3,4,5,3,2","6,5,4,6,7",40,9.416,30,4.721,23,2,0.5882352941176471,compromise,Male,24,1
1,6,45,0.375,0,1.9,0.377777778,"9,9,9,9,9","5,5,4,1,2","4,4,5,8,7",45,1.847,37,6.685,27,3,0.4444444444444444,compromise,Male,24,1
1,8,5,0.375,0,2,0.4,"1,1,1,1,1","0,1,0,1,0","1,0,1,0,1",40,3.958,32,5.902,25,2,0.5333333333333333,compromise,Male,24,1
1,10,5,0.875,0,1.5,0.8,"1,1,1,1,1","1,0,1,1,1","0,1,0,0,0",80,3.464,88,7.512,97,1,0.47058823529411764,compromise,Male,24,1
1,11,45,0.625,0,1.7,0.622222222,"9,9,9,9,9","3,7,6,6,6","6,2,3,3,3",75,3.493,70,5.277,59,1,0.3125,compromise,Male,24,1
1,13,5,0.625,0,1.7,0.6,"1,1,1,1,1","1,0,0,1,1","0,1,1,0,0",60,2.355,70,4.615,75,3,0.6666666666666666,compromise,Male,24,1
1,14,45,0.75,0,1.9,0.755555556,"9,9,9,9,9","6,7,5,8,8","3,2,4,1,1",85,2.368,75,5.2,70,3,0.6666666666666666,compromise,Male,24,1
1,15,5,0.75,0,1.5,0.8,"1,1,1,1,1","1,1,1,1,0","0,0,0,0,1",80,2.743,70,4.721,65,3,0.6666666666666666,compromise,Male,24,1
1,16,5,0.375,0,1.5,0.4,"1,1,1,1,1","0,1,0,0,1","1,0,1,1,0",40,2.583,33,6.254,25,1,0.4666666666666667,compromise,Male,24,1
1,17,45,0.5,0,1.6,0.511111111,"9,9,9,9,9","3,4,6,5,5","6,5,3,4,4",40,4.528,50,4.256,55,3,0.6666666666666666,compromise,Male,24,1
1,18,45,0.625,0,1.7,0.622222222,"9,9,9,9,9","6,7,5,6,4","3,2,4,3,5",62,3.645,75,4.158,80,3,0.7222222222222222,compromise,Male,24,1
1,19,45,0.25,0,1.5,0.244444444,"9,9,9,9,9","6,0,2,1,2","3,9,7,8,7",20,3.61,23,4.374,37,1,0.17647058823529413,compromise,Male,24,1
1,20,5,0.875,0,1.8,0.8,"1,1,1,1,1","1,0,1,1,1","0,1,0,0,0",80,2.166,85,5.506,97,2,0.29411764705882354,compromise,Male,24,1
1,21,45,0.625,0,1.8,0.622222222,"9,9,9,9,9","7,4,7,5,5","2,5,2,4,4",55,2.368,60,3.978,70,2,0.3333333333333333,compromise,Male,24,1
1,22,5,0.125,0,1.6,0.2,"1,1,1,1,1","0,0,0,1,0","1,1,1,0,1",20,1.652,12,6.582,4,1,0.5,compromise,Male,24,1
