sID,nTotal,true_ratio,estimate
1,5,0.75,65
1,5,1,86
1,45,0.375,50
1,45,0.5,35
1,5,0.375,60
1,5,0.875,80
1,5,0.125,10
1,5,0.625,60
1,25,0.5,75
1,25,1,90
1,5,0.125,20
1,45,0.75,35
1,25,0.125,10
1,25,0.875,90
1,25,0.5,40
1,5,0.625,80
1,45,0,0
1,45,0.5,15
1,45,0,5
1,25,0.875,90
1,5,0.5,60
1,25,0,10
1,5,0.25,20
1,45,0.375,20
1,45,0.125,10
1,25,0.25,15
1,45,0.625,41
1,25,0,5
1,5,0.25,40
1,45,0.5,50
1,5,0,5
1,5,0.75,95
1,45,0,15
1,5,0.5,40
1,45,0.25,40
1,5,0,5
1,25,0.125,36
1,45,0.875,75
1,45,0.625,80
1,25,0.625,80
1,25,0.375,30
1,45,1,85
1,25,0.875,75
1,45,0.25,25
1,5,0.5,60
1,25,0.5,60
1,25,0.375,50
1,25,0,60
1,25,0.75,80
1,5,0.125,25
1,25,1,95
1,45,1,95
1,45,1,95
1,5,0.375,80
1,5,0.25,20
1,25,0.25,30
1,45,0.875,95
1,5,0,20
1,5,0.875,95
1,45,0.125,10
1,45,0.75,85
1,5,1,80
1,5,0.375,40
1,45,0.25,15
1,25,1,85
1,25,0.75,80
1,45,0.375,40
1,45,0.75,90
1,25,0.125,15
1,5,0.875,80
1,45,0.625,50
1,25,0.25,15
1,25,0.375,20
1,25,0.75,80
1,25,0.625,75
1,45,0.875,85
1,5,0.75,85
1,5,0.625,60
1,45,0.125,15
1,25,0.625,19
1,5,1,95
2,5,0.875,80
2,5,0.625,40
2,5,0.75,100
2,25,0.875,90
2,45,0.125,0
2,25,0.25,28
2,5,0.375,20
2,25,0.5,43
2,45,0.625,82
2,25,0.5,60
2,5,0.125,20
2,5,0.5,40
2,5,0.5,60
2,45,0.875,100
2,5,0,20
2,25,1,100
2,5,0.25,40
2,45,0,11
2,5,1,100
2,5,0.125,20
2,45,0.625,41
2,45,0.125,27
2,25,0.375,33
2,5,1,80
2,45,1,100
2,25,0.125,21
2,5,0.375,60
2,45,0.25,43
2,45,0.625,73
2,45,0.5,47
2,25,0.875,75
2,25,0.375,53
2,25,0,0
2,25,0.625,70
2,45,0.375,12
2,25,0.25,34
2,45,0.375,38
2,5,0.625,80
2,25,0.75,74
2,45,1,100
2,25,1,100
2,45,0.5,66
2,25,0.625,53
2,45,0,0
2,5,0.25,20
2,45,1,80
2,5,0.625,60
2,5,0,0
2,25,0.875,100
2,45,0.25,27
2,25,0.375,39
2,45,0.75,65
2,45,0.875,92
2,25,0.125,8
2,45,0,0
2,25,0.125,0
2,25,1,79
2,45,0.25,33
2,25,0,0
2,5,0.25,20
2,45,0.75,90
2,5,0.125,0
2,45,0.375,66
2,45,0.125,20
2,5,1,100
2,45,0.5,61
2,25,0.5,42
2,5,0.75,60
2,25,0,40
2,5,0.375,40
2,45,0.75,85
2,5,0.875,100
2,5,0.75,80
2,45,0.875,79
2,5,0.875,80
2,5,0,0
2,25,0.75,87
2,25,0.75,81
2,25,0.25,19
2,25,0.625,46
2,5,0.5,60
3,5,0.625,65
3,45,0.75,56
3,5,0.375,10
3,25,0,2
3,45,0,1
3,5,0.875,90
3,45,0.75,75
3,25,0,15
3,45,1,98
3,5,0.25,40
3,5,0.75,90
3,45,0.875,99
3,45,0.625,60
3,45,0.625,50
3,5,0.375,66
3,25,0.625,80
3,5,0.875,95
3,45,0.375,51
3,25,1,98
3,5,1,95
3,5,0.125,10
3,25,0,3
3,45,0.875,89
3,45,0.375,11
3,25,0.875,90
3,25,0.125,20
3,25,0.5,50
3,5,0.75,80
3,25,0.375,39
3,25,0.375,17
3,25,0.75,89
3,5,0.875,90
3,45,0,2
3,5,0.125,10
3,5,0.5,65
3,5,0.625,90
3,45,0.125,25
3,25,0.625,60
3,45,0.125,12
3,5,0.25,10
3,25,1,98
3,45,0.625,69
3,5,0.75,95
3,25,0.375,50
3,45,0.875,61
3,25,0.75,90
3,5,0,10
3,5,0,10
3,25,0.25,34
3,25,0.875,90
3,45,0.25,40
3,45,0.5,60
3,25,0.125,10
3,45,0.25,40
3,45,0.5,43
3,45,0,44
3,25,0.125,14
3,45,0.5,55
3,45,0.375,40
3,45,0.25,10
3,25,1,80
3,5,0.5,35
3,25,0.25,25
3,45,0.125,2
3,5,1,90
3,25,0.75,61
3,5,0,10
3,5,0.125,10
3,45,1,85
3,5,0.25,55
3,25,0.25,35
3,25,0.875,76
3,5,0.625,25
3,5,0.5,75
3,5,1,95
3,45,1,98
3,45,0.75,90
3,5,0.375,25
3,25,0.5,40
3,25,0.625,50
3,25,0.5,66
4,5,0.875,91
4,25,0.375,25
4,5,0.25,38
4,25,1,85
4,25,0.625,46
4,5,0,37
4,25,0.375,39
4,25,0.125,10
4,45,0.25,36
4,45,0.25,43
4,25,0.75,98
4,45,0.125,10
4,25,0.5,47
4,25,0.25,11
4,45,0.125,3
4,25,1,76
4,45,0,0
4,25,0.75,72
4,25,0,17
4,45,0.375,60
4,25,0.25,43
4,5,0.625,43
4,25,0.375,58
4,5,0.875,58
4,45,0,58
4,5,0,32
4,5,1,62
4,45,1,96
4,5,0.125,39
4,5,0.625,59
4,45,1,93
4,5,1,61
4,25,0.875,71
4,5,0.375,55
4,5,1,66
4,45,0.625,78
4,5,0,42
