sID,trial_number,block_number,response,response_button,response_time,correct,outcome,previous_outcome,stay_shift,new_block,correct_polygon,rewarded_polygon,prob_triangle_rewarded,position_triangle
3,1,1,triangle,left,0.57011829000021,1,win,[],[],1,triangle,triangle,0.8,left
3,2,1,triangle,left,0.537344690000282,1,win,win,stay,0,triangle,triangle,0.8,left
3,3,1,triangle,right,0.637404390000484,1,win,win,stay,0,triangle,triangle,0.8,right
3,4,1,triangle,right,0.304141190000337,1,lose,win,stay,0,triangle,circle,0.8,right
3,5,1,triangle,right,0.454641689999335,1,win,lose,stay,0,triangle,triangle,0.8,right
3,6,1,triangle,right,0.454470190000393,1,win,win,stay,0,triangle,triangle,0.8,right
3,7,1,triangle,left,0.538374589999876,1,win,win,stay,0,triangle,triangle,0.8,left
3,8,1,circle,left,0.553792790001353,0,lose,win,shift,0,triangle,triangle,0.8,right
3,9,1,triangle,left,0.621291290000045,1,lose,lose,shift,0,triangle,circle,0.8,left
3,10,1,triangle,right,0.537636990000465,1,win,lose,stay,0,triangle,triangle,0.8,right
3,11,2,triangle,right,0.471713190000628,0,lose,win,stay,1,circle,circle,0.19999999999999996,right
3,12,2,triangle,left,0.454155890000948,0,win,lose,stay,0,circle,triangle,0.19999999999999996,left
3,13,2,circle,left,0.705177390000244,1,win,win,shift,0,circle,circle,0.19999999999999996,right
3,14,2,triangle,left,0.52058678999947,0,lose,win,shift,0,circle,circle,0.19999999999999996,left
3,15,2,circle,left,0.587485390000438,1,win,lose,shift,0,circle,circle,0.19999999999999996,right
3,16,2,circle,right,0.403723689999424,1,lose,win,stay,0,circle,triangle,0.19999999999999996,left
3,17,2,triangle,left,0.455689490000623,0,lose,lose,shift,0,circle,circle,0.19999999999999996,left
3,18,2,triangle,left,0.321295589999863,0,lose,lose,stay,0,circle,circle,0.19999999999999996,left
3,19,2,circle,left,0.538750889999392,1,win,lose,shift,0,circle,circle,0.19999999999999996,right
3,20,2,circle,right,0.704883390000759,1,win,win,stay,0,circle,circle,0.19999999999999996,left
3,21,2,circle,right,0.50518768999973,1,win,win,stay,0,circle,circle,0.19999999999999996,left
3,22,2,circle,right,0.454108290000477,1,win,win,stay,0,circle,circle,0.19999999999999996,left
3,23,3,circle,right,0.454438790000495,0,win,win,stay,1,triangle,circle,0.5,left
3,24,3,circle,right,0.287964690000081,0,lose,win,stay,0,triangle,triangle,0.5,left
