sID,trialNumber,response_times,correct_order,click_order,response_correct
3,1,"[1.0481322000005093, 1.8318424000008235]","[2, 5]","[2, 5]",True
3,2,"[1.4821388999998817, 2.8314191999998]","[8, 3]","[8, 3]",True
3,3,"[0.9648011999997834, 1.7315444999994725]","[1, 2]","[1, 2]",True
3,4,"[0.8654517000004489, 1.4146073000001707, 2.114920200000597]","[8, 2, 6]","[8, 2, 6]",True
3,5,"[0.8819566000001942, 1.6648313000005146, 2.3979018999998516]","[5, 3, 1]","[5, 3, 1]",True
3,6,"[0.9150528999998642, 1.4984598000000915, 2.2313803000006374]","[5, 3, 2]","[5, 3, 2]",True
3,7,"[0.7648340999994616, 1.248530099999698, 2.081692899999325, 2.8145770999999513]","[1, 1, 6, 0]","[1, 1, 6, 0]",True
3,8,"[0.9814624999999069, 1.6652157999997144, 2.298465799999576, 2.665108700000019]","[2, 6, 4, 4]","[2, 6, 4, 4]",True
3,9,"[1.0650661999998192, 1.8485983999999007, 2.615051599999788, 3.6155255999992733]","[3, 5, 2, 4]","[3, 5, 2, 4]",True
3,10,"[0.7646394000003056, 1.4834173999997802, 2.231559500000003, 2.981479400000353, 3.63128609999967]","[1, 2, 5, 3, 2]","[1, 2, 5, 3, 2]",True
3,11,"[1.0483905999999479, 1.7479109999994762, 2.448359299999538, 3.215118299999631, 3.815034399999604]","[2, 1, 3, 4, 6]","[2, 1, 3, 4, 6]",True
3,12,"[0.9151025999999547, 1.5483679000008124, 2.165254100000311, 3.0652912000005017, 3.6982692999999927]","[7, 4, 6, 7, 2]","[7, 4, 6, 7, 2]",True
3,13,"[0.7151608000003762, 1.7147092000004704, 2.464312500000233, 3.198223600000347, 3.964284800000314, 4.9481776000002355]","[8, 3, 0, 3, 0, 7]","[8, 3, 0, 3, 0, 7]",True
3,14,"[0.7984013999994204, 1.4978494999995746, 2.231735899999876, 3.0317535999993197, 3.8981039000000237, 4.997887499999706]","[8, 0, 6, 4, 5, 4]","[8, 0, 6, 4, 5, 4]",True
3,15,"[0.7486584000007497, 1.38104629999998, 2.1819485000005443, 2.815190000000257, 3.6142926000002262, 4.231528199999957]","[6, 0, 7, 5, 0, 3]","[6, 0, 7, 5, 0, 3]",True
3,16,"[0.8311299999995754, 1.3650032999994437, 2.081560900000113, 2.799764100000175, 3.54848149999998, 4.231613599999946, 5.197696899999755]","[0, 1, 2, 3, 1, 6, 4]","[0, 1, 2, 3, 6, 4, 0]",False
3,17,"[0.6980199999998149, 1.330931800000144, 1.6808984999997847, 2.3483031000005212, 3.0496736000004603, 4.181447500000104, 4.848022700000001]","[2, 0, 0, 8, 4, 8, 3]","[2, 0, 0, 8, 4, 8, 3]",True
3,18,"[0.9820595999999568, 1.5150090999995882, 2.1814610999999786, 3.0145093999999517, 3.981101299999864, 4.598613799999839, 5.1983150999994905]","[6, 6, 3, 1, 0, 7, 5]","[6, 6, 3, 1, 0, 7, 7]",False
3,19,"[0.998804700000619, 2.0984971000007135, 2.8317370000004303, 3.481658900000184, 4.681545200000073, 5.265386699999908, 5.767270600000302, 6.381890399999975]","[5, 6, 0, 3, 2, 5, 2, 7]","[5, 6, 0, 3, 2, 7, 5, 5]",False
3,20,"[1.731720700000551, 2.3645467000005738, 3.133787100000518, 4.34814280000046, 6.464367999999922, 7.064871900000071, 7.564449600000444, 8.031555100000332]","[1, 7, 6, 1, 2, 7, 7, 6]","[7, 1, 6, 2, 1, 7, 2, 7]",False
3,21,"[1.0816462000002502, 1.631796800000302, 2.531551000000036, 3.4487827000002653, 4.281848599999648, 6.364645599999676, 8.181294699999853, 9.933506399999715]","[5, 3, 7, 2, 5, 1, 8, 3]","[5, 7, 2, 6, 5, 3, 1, 6]",False
6,1,"[0.9481476000000839, 1.6988337000002502]","[0, 8]","[0, 8]",True
6,2,"[1.1152617000007012, 1.7985585999995237]","[7, 3]","[7, 3]",True
6,3,"[0.8980890000002546, 1.6147608000010223]","[2, 0]","[2, 0]",True
6,4,"[0.8814552000003459, 1.5484190999995917, 2.0984312999989925]","[3, 7, 4]","[3, 7, 4]",True
6,5,"[1.0819651000001613, 1.7315815999991173, 2.398317200000747]","[8, 0, 5]","[8, 0, 5]",True
6,6,"[0.7151706999993621, 1.1988781999989442, 1.8647375000000466]","[2, 7, 1]","[2, 7, 1]",True
6,7,"[0.5147202999996807, 1.098385999999664, 2.1485047999995004, 2.8316204999991896]","[0, 4, 3, 1]","[0, 4, 3, 1]",True
6,8,"[1.1320071000009193, 2.1484868000006827, 2.999083500000779, 3.282412300000942]","[5, 7, 8, 8]","[5, 7, 8, 8]",True
6,9,"[0.5989055999998527, 1.498729099999764, 2.1312614999988, 2.9818660999990243]","[8, 6, 0, 4]","[8, 6, 0, 4]",True
6,10,"[0.8984590000000026, 1.4319336999997176, 2.0487660999988293, 3.064735699999801, 3.715147499999148]","[2, 3, 7, 2, 4]","[2, 3, 7, 2, 4]",True
6,11,"[1.5318378000010853, 2.181398500000796, 2.7319239000007656, 3.331430800000817, 3.7980953000005684]","[5, 1, 0, 1, 1]","[5, 1, 0, 1, 1]",True
6,12,"[0.8487874999991618, 1.331671699999788, 1.6649796000001515, 2.2485182999989775, 2.58184540000002]","[3, 1, 1, 7, 7]","[3, 1, 1, 7, 7]",True
6,13,"[0.6647566999999981, 1.5814644000001863, 2.332279099999141, 3.248057799999515, 4.0486196000001655, 4.881168300000354]","[1, 4, 1, 5, 8, 0]","[1, 4, 1, 5, 8, 0]",True
6,14,"[1.166411700000026, 2.198030999999901, 4.298302299999705, 5.415084099999149, 6.081280200000037, 8.314555199998722]","[4, 2, 1, 5, 3, 2]","[4, 1, 5, 3, 2, 2]",False
6,15,"[0.9981241999994381, 1.5987791999996261, 2.099827699999878, 2.6649391999999352, 3.248410899999726, 3.7988621999993484]","[2, 7, 5, 2, 3, 8]","[2, 7, 5, 2, 3, 8]",True
6,16,"[0.9338210999994772, 2.9646131999998033, 4.114931100000831, 5.947725199999695, 6.431841800000257, 7.147890300000654, 8.14853310000035]","[0, 0, 2, 3, 0, 7, 0]","[0, 2, 3, 0, 7, 0, 7]",False
6,17,"[1.2153660000003583, 1.7813433999999688, 2.515169700000115, 2.998294099999839, 3.381866399999126, 4.214856900000086, 4.865227899999809]","[7, 2, 4, 6, 6, 2, 2]","[7, 2, 4, 6, 6, 2, 7]",False
6,18,"[1.298172800001339, 1.931489700000384, 3.432057400001213, 4.147733400001016, 4.664994100001422, 5.298226400000203, 5.8983056000015495]","[1, 4, 8, 0, 5, 5, 6]","[1, 4, 8, 0, 5, 6, 5]",False
8,1,"[1.6653795000001992, 2.3148005999992165]","[7, 1]","[7, 1]",True
8,2,"[2.3486895999994886, 3.248143999999229]","[7, 1]","[7, 1]",True
8,3,"[1.3652098999991722, 2.1313968999984354]","[4, 0]","[4, 0]",True
8,4,"[0.8319874000007985, 1.5483461000003444, 2.116169999999329]","[6, 2, 0]","[6, 2, 0]",True
8,5,"[1.1147474000008515, 1.8838988000006793, 2.6150290000005043]","[3, 8, 4]","[3, 8, 4]",True
8,6,"[1.0149725999999646, 1.764409199999136, 2.4647650999995676]","[8, 1, 5]","[8, 1, 5]",True
8,7,"[0.7153763999995135, 1.3821692000001349, 2.031687699998656, 2.5982586999998603]","[6, 6, 3, 5]","[6, 6, 3, 5]",True
8,8,"[0.9151575000014418, 1.5652900000004593, 2.131169199999931, 2.7983281000015268]","[6, 8, 0, 2]","[6, 8, 0, 2]",True
8,9,"[1.765087300000232, 2.4477837000013096, 3.364716400001271, 4.097958500000459]","[8, 1, 4, 1]","[8, 1, 4, 1]",True
8,10,"[1.3986046999998507, 2.2149676000008185, 2.9315495000009832, 3.598223400000279, 4.348210399999516]","[5, 4, 1, 5, 4]","[5, 4, 1, 5, 4]",True
8,11,"[0.9481525999999576, 1.4480575999987195, 2.215127299999949, 2.7819545999991533, 3.5311986999986402]","[2, 2, 7, 6, 1]","[2, 2, 7, 6, 1]",True
8,12,"[0.9984972999991442, 1.7147295999984635, 2.4150732999987667, 3.598757599998862, 4.414501799999925]","[7, 2, 3, 8, 1]","[7, 2, 3, 8, 1]",True
8,13,"[2.398500100000092, 3.0481364999996003, 3.864480599999297, 4.347949299999527, 5.264344699999128, 6.981185099999493]","[3, 4, 1, 8, 3, 2]","[8, 4, 1, 3, 2, 3]",False
8,14,"[0.9985861000004661, 1.581807700000354, 1.9484171000003698, 2.6986612000000605, 3.3330798000006325, 3.597875000001295]","[3, 6, 6, 8, 0, 0]","[3, 6, 6, 8, 0, 0]",True
8,15,"[1.2645233000002918, 1.8145015999998577, 2.2145364999996673, 3.0646335000001272, 3.648106700000426, 4.381163500000184]","[2, 0, 5, 5, 3, 1]","[2, 0, 0, 5, 3, 1]",False
8,16,"[0.8486749999992753, 1.4986960000005638, 2.1981415999998717, 4.048065200000565, 5.714840599999661, 6.398043499999403, 6.948560299999372]","[6, 5, 3, 4, 4, 0, 6]","[6, 5, 3, 3, 4, 0, 6]",False
8,17,"[0.9318874000000505, 1.6653263000007428, 1.915080200000375, 2.564638300000297, 3.2667118000008486, 4.09800610000093, 4.297944399999324]","[8, 1, 6, 6, 7, 2, 2]","[8, 6, 6, 1, 7, 2, 2]",False
8,18,"[0.764444899999944, 1.3149785999994492, 2.3147749999989173, 2.9814473999995244, 4.147746599999664, 4.614599199998338, 5.198400599998422]","[0, 4, 1, 4, 1, 1, 6]","[0, 4, 1, 4, 1, 1, 6]",True
8,19,"[2.182054799999605, 2.848271599999862, 3.548841800000446, 4.264479800000117, 4.781113000000914, 5.6150221999996575, 6.281705200000943, 7.315063899999586]","[6, 4, 8, 0, 4, 4, 0, 6]","[6, 4, 8, 0, 0, 6, 4, 4]",False
8,20,"[1.1174794000016846, 1.5154730000012933, 2.1316792000015994, 2.5317924000009953, 3.015432000000146, 4.064918100000796, 6.381402700000763, 7.464815799999997]","[8, 8, 6, 6, 8, 2, 6, 2]","[8, 8, 6, 6, 8, 2, 2, 6]",False
8,21,"[1.3484711999990395, 2.064991100000043, 2.381594299999051, 5.06518270000015, 6.248639599998569, 6.9312286999993376, 7.214648099999977, 7.831754799999544]","[5, 1, 1, 7, 6, 5, 2, 5]","[5, 1, 1, 7, 6, 2, 2, 5]",False
9,1,"[1.1149547000004532, 2.2646593999998004]","[4, 1]","[4, 1]",True
9,2,"[1.431559899999229, 2.248578899999302]","[2, 6]","[2, 6]",True
9,3,"[1.5318648999991638, 2.215598499999942]","[2, 7]","[2, 7]",True
9,4,"[0.8985314000001381, 1.6649160000006304, 2.2646275000006426]","[0, 6, 3]","[0, 6, 3]",True
9,5,"[1.2148640999994313, 2.098792899999353, 3.067270599999574]","[2, 6, 5]","[2, 6, 5]",True
9,6,"[0.9812695000000531, 1.7984944999998334, 2.5482268000005206]","[2, 8, 5]","[2, 8, 5]",True
9,7,"[0.9986228999996456, 1.7988844999999856, 2.532421699999759, 3.3314080999998623]","[6, 5, 6, 1]","[6, 5, 6, 1]",True
9,8,"[0.9819464000001972, 1.548714700000346, 2.0647337999998854, 2.7479756000002453]","[6, 8, 4, 1]","[6, 8, 4, 1]",True
9,9,"[0.9649807000005239, 1.681984800000464, 2.264959400000407, 3.0653282000002946]","[4, 2, 2, 7]","[4, 2, 2, 7]",True
9,10,"[1.1649311999999554, 1.7148819000003641, 2.765240200000335, 3.298530600000049, 3.8645661000000473]","[0, 0, 4, 4, 0]","[0, 0, 4, 4, 0]",True
